HW_TYPE,CB_VER,IMG_VERS,ITERATION,TOTAL_BOOT,FIRMWARE_TOTAL,KERNEL,USERSPACE,WAMP,NETWORKING,CONTROLPANEL,FWPNMANAGER,SYSTEMD_UDEV_SETTLE,DEVICE_UNIT,DMESG_ERROR
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",2,262, 15.893 ,4.111, 11.782 ,5.870,5.895,,,,1.166,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",3,263, 15.171 ,4.175, 10.995 ,6.219,5.890,,,,1.089,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",4,263, 16.204 ,4.148, 12.056 ,5.697,5.658,,,,1.100,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",5,263, 15.226 ,4.147, 11.079 ,6.430,5.844,,,,967m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",6,262, 16.238 ,4.136, 12.101 ,5.917,5.628,,,,1.037,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",7,263, 14.957 ,4.100, 10.856 ,6.442,5.972,,,,1.105,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",8,262, 14.970 ,4.148, 10.821 ,6.402,5.868,,,,969m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",9,263, 15.065 ,4.143, 10.922 ,6.348,5.911,,,,1.181,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",10,262, 14.959 ,4.147, 10.812 ,6.406,5.874,,,,1.093,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",11,262, 15.113 ,4.111, 11.002 ,6.313,5.905,,,,1.103,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",12,262, 15.077 ,4.130, 10.947 ,6.387,5.773,,,,1.222,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",13,263, 15.207 ,4.152, 11.054 ,6.238,5.848,,,,1.205,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",14,263, 15.729 ,4.100, 11.629 ,6.121,5.920,,,,1.054,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",15,263, 14.994 ,4.128, 10.865 ,6.450,5.995,,,,1.052,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",16,263, 15.172 ,4.179, 10.992 ,6.441,5.804,,,,1.127,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",17,262, 15.516 ,4.140, 11.375 ,5.857,5.811,,,,1.151,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",18,263, 14.882 ,4.123, 10.758 ,6.389,5.891,,,,1.079,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",19,262, 15.075 ,4.123, 10.951 ,6.094,5.886,,,,1.240,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",20,262, 14.661 ,4.142, 10.519 ,6.586,6.094,,,,1.086,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",21,262, 15.361 ,4.149, 11.212 ,6.002,5.860,,,,1.027,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",22,262, 16.293 ,4.123, 12.169 ,5.813,5.946,,,,1.063,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",23,263, 15.117 ,4.148, 10.969 ,6.198,6.022,,,,1.075,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",24,263, 16.548 ,4.148, 12.399 ,5.866,5.737,,,,1.137,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",25,262, 15.158 ,4.117, 11.040 ,6.589,6.107,,,,1.226,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",26,262, 16.041 ,4.136, 11.904 ,5.741,6.101,,,,1.105,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",27,262, 16.417 ,4.187, 12.229 ,5.898,5.856,,,,1.007,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",28,262, 16.131 ,4.135, 11.996 ,5.756,5.677,,,,1.181,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",29,262, 16.119 ,4.131, 11.988 ,5.866,5.752,,,,1.131,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",30,262, 15.133 ,4.143, 10.989 ,6.492,5.793,,,,1.080,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",31,263, 15.051 ,4.164, 10.886 ,6.550,5.818,,,,1.012,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",32,263, 15.556 ,4.115, 11.440 ,6.058,6.038,,,,1.061,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",33,262, 15.396 ,4.157, 11.239 ,5.932,6.009,,,,1.100,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",34,262, 15.137 ,4.100, 11.036 ,6.308,5.909,,,,1.132,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",35,262, 14.906 ,4.143, 10.763 ,6.594,5.790,,,,959m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",36,262, 16.155 ,4.129, 12.026 ,5.919,5.924,,,,1.095,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",37,262, 16.157 ,4.131, 12.026 ,5.990,5.894,,,,993m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",38,262, 15.085 ,4.149, 10.936 ,6.311,5.862,,,,1.097,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",39,262, 16.056 ,4.156, 11.900 ,6.006,5.814,,,,1.044,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",40,262, 15.734 ,4.175, 11.559 ,5.892,5.820,,,,1.133,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",41,262, 15.801 ,4.144, 11.657 ,6.081,6.087,,,,1.071,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",42,262, 16.304 ,4.101, 12.203 ,5.793,5.899,,,,1.229,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",43,263, 15.080 ,4.157, 10.922 ,6.399,5.835,,,,1.127,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",44,263, 15.243 ,4.158, 11.084 ,6.311,5.937,,,,1.104,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",45,262, 16.075 ,4.145, 11.930 ,5.922,5.735,,,,1.134,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",46,264, 16.026 ,4.102, 11.924 ,5.829,5.860,,,,1.100,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",47,262, 15.758 ,4.118, 11.640 ,5.975,5.888,,,,1.090,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",48,262, 16.279 ,4.176, 12.102 ,5.826,6.021,,,,962m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",49,262, 16.045 ,4.155, 11.889 ,6.017,6.054,,,,1.111,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",50,263, 14.795 ,4.150, 10.645 ,6.653,5.954,,,,1.192,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",51,262, 16.241 ,4.120, 12.120 ,5.799,5.951,,,,1.048,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",52,263, 16.159 ,4.150, 12.009 ,5.873,5.736,,,,1.155,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",53,263, 15.697 ,4.136, 11.560 ,5.936,5.992,,,,1.184,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",54,264, 15.325 ,4.158, 11.166 ,6.072,5.883,,,,1.085,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",55,262, 15.877 ,4.103, 11.773 ,5.937,5.857,,,,1.017,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",56,262, 16.030 ,4.110, 11.920 ,5.814,6.055,,,,1.204,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",57,263, 15.067 ,4.142, 10.924 ,6.266,6.052,,,,1.152,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",58,264, 15.688 ,4.122, 11.566 ,6.072,6.152,,,,1.036,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",59,262, 15.227 ,4.148, 11.079 ,6.190,6.009,,,,1.096,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",60,266, 15.031 ,4.171, 10.860 ,6.511,5.935,,,,982m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",61,264, 16.060 ,4.145, 11.914 ,5.916,5.766,,,,1.155,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",62,264, 14.927 ,4.131, 10.795 ,6.351,5.978,,,,1.125,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",63,264, 16.002 ,4.141, 11.860 ,6.014,5.955,,,,1.144,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",64,265, 14.887 ,4.128, 10.759 ,6.392,5.870,,,,1.125,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",65,264, 16.148 ,4.136, 12.012 ,5.839,5.810,,,,1.227,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",66,262, 15.916 ,4.127, 11.789 ,5.859,5.908,,,,1.217,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",67,262, 14.637 ,4.137, 10.499 ,6.703,5.956,,,,1.003,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",68,264, 15.198 ,4.151, 11.046 ,5.947,6.229,,,,1.068,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",69,261, 15.899 ,4.143, 11.755 ,5.881,5.896,,,,967m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",70,268, 15.011 ,4.156, 10.854 ,6.422,5.856,,,,1.123,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",71,266, 16.231 ,4.136, 12.094 ,5.914,5.867,,,,959m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",72,306, 14.571 ,4.124, 10.446 ,6.489,6.072,,,,1.101,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",73,263, 15.192 ,4.160, 11.032 ,6.222,6.052,,,,1.036,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",74,263, 15.165 ,4.131, 11.034 ,6.115,6.103,,,,1.090,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",75,262, 14.916 ,4.131, 10.785 ,6.410,5.869,,,,1.124,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",76,262, 15.721 ,4.121, 11.600 ,5.911,6.101,,,,1.102,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",77,263, 15.411 ,4.158, 11.252 ,5.818,5.682,,,,1.096,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",78,263, 16.110 ,4.140, 11.969 ,5.956,6.086,,,,1.140,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",79,262, 16.041 ,4.122, 11.919 ,5.999,6.119,,,,1.070,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",80,263, 15.819 ,4.156, 11.663 ,5.953,5.909,,,,1.098,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",81,263, 15.114 ,4.135, 10.978 ,6.462,5.889,,,,1.151,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",82,268, 14.732 ,4.135, 10.596 ,6.637,6.066,,,,1.131,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",83,262, 15.920 ,4.140, 11.780 ,5.957,5.957,,,,1.121,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",84,263, 14.980 ,4.171, 10.808 ,6.421,5.906,,,,1.124,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",85,262, 14.733 ,4.128, 10.605 ,6.599,5.920,,,,1.101,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",86,262, 15.722 ,4.176, 11.545 ,6.020,5.925,,,,1.129,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",87,262, 16.068 ,4.129, 11.938 ,5.903,5.967,,,,1.133,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",88,263, 15.062 ,4.107, 10.955 ,6.126,5.894,,,,990m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",89,263, 14.763 ,4.135, 10.627 ,6.457,5.867,,,,1.166,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",90,262, 16.139 ,4.124, 12.015 ,5.804,5.971,,,,1.130,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",91,262, 14.973 ,4.129, 10.844 ,6.247,5.733,,,,1.143,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",92,262, 16.354 ,4.162, 12.192 ,5.915,5.788,,,,1.098,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",93,262, 16.022 ,4.143, 11.879 ,5.905,5.923,,,,1.170,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",94,263, 15.461 ,4.168, 11.292 ,6.105,5.822,,,,1.012,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",95,264, 14.815 ,4.132, 10.683 ,6.467,5.970,,,,1.115,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",96,263, 15.855 ,4.144, 11.710 ,5.549,5.516,,,,986m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",97,263, 15.080 ,4.102, 10.977 ,6.396,5.915,,,,1.088,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",98,263, 15.619 ,4.128, 11.490 ,6.079,5.902,,,,986m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",99,262, 15.304 ,4.139, 11.164 ,6.052,5.864,,,,1.092,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",100,262, 16.055 ,4.129, 11.926 ,5.919,6.020,,,,1.078,Error
